"sampleid","y","x"
"CA 47-2010","39.14919",-121.79093
"CA 48-2010","39.63951",-121.84387
"CA 49-2010","39.37039",-122.57466
"CA 50-2010","39.645",-122.02254
"FL 01-2010","30.765",-86.401001
"FL 02-2010","30.29331",-85.531532
"FL 03-2010","30.2126",-86.091904
"FL 04-2010","30.45065",-85.177231
"FL 05-2010","30.19545",-85.522247
"FL 06-2010","30.9415",-87.516487
"FL 07-2010","30.23037",-85.580406
"FL 08-2010","30.52193",-84.097519
"FL 09-2010","30.6196",-85.114861
"FL 10-2010","29.5392",-82.493179
"FL 11-2010","30.826",-86.419998
"FL 12-2010","29.73363",-82.275436
"FL 13-2010","29.57818",-82.667351
"FL 14-2010","27.6745",-82.228088
"FL 15-2010","28.2349",-82.690804
"FL 16-2010","27.85778",-81.697067
"FL 17-2010","28.04467",-82.773087
"FL 18-2010","30.03729",-82.26442
"FL 19-2010","29.63446",-82.358833
"FL 20-2010","27.05247",-80.515007
"FL 21-2010","27.07908",-80.577118
"FL 22-2010","27.06614",-80.37413
"FL 23-2010","29.04621",-80.360008
"FL 24-2010","27.68986",-82.322357
"FL 25-2010","26.81335",-80.289207
"HI 04-2010","21.908",-156.47
"HI 07-2010","19.47196",-154.88687
"HI 08-2010","19.638",-155.03999
"HI 09-2010","21.3081",-157.80099
"HI 10-2010","21.647",-158.049
"HI 11-2010","19.593",-154.959
"HI 14-2010","20.0583",-155.41901
"HI 15-2010","21.37173",-157.9061
"HI 16-2010","20.91688",-156.37801
"HI 18-2010","21.44827",-158.04105
"HI 21-2010","21.059",-156.909
"HI 23-2010","27.67907",-108.43672
"HI 24-2010","22.17931",-159.32077
"HI 25-2010","21.215",-156.746
"HI 30-2010","19.439",-155.269
"HI 31-2010","19.559",-155.02299
"HI 32-2010","19.589",-154.98801
"TN 08-2010","35.92472",-88.125267
"TN 10-2010","36.27956",-82.556381
"TN 14-2010","36.52966",-82.507027
"TN 17-2010","36.07053",-84.477501
"TN 18-2010","35.75363",-84.833458
"TN 20-2010","35.52228",-86.747383
"TN 21-2010","35.80465",-88.091377
"TN 23-2010","36.16838",-83.034409
