	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	nosema	nosema	lnnosema1	nosema_d	mites	lnmites1	abpv_d	abpv_d	bqcv_d	dwv_d	cbpv_d	iapv_d	kbv_d	nosema	cbpv_d
															
_Iregion_3	-0.00106	0.00600	-0.00477	0.0669	-1.815*	-0.153*		1.325***	-0.529	-0.116				0.00177	
	(0.0796)	(0.0839)	(0.0355)	(0.231)	(0.956)	(0.0861)		(0.461)	(0.401)	(0.493)				(0.0856)	
_Iregion_4	0.0980	0.125*	0.0531**	0.212	-0.744	-0.193***		-0.501	-0.308	-0.903***				0.127*	
	(0.0722)	(0.0681)	(0.0266)	(0.158)	(0.513)	(0.0647)		(0.348)	(0.317)	(0.342)				(0.0682)	
_Iregion_5	-0.478***	-0.483***	-0.266***	-1.120***	0.632	0.218			0.277	0.431				-0.480***	
	(0.0824)	(0.0833)	(0.0373)	(0.377)	(1.146)	(0.149)			(0.827)	(0.890)				(0.0837)	
_Iregion_6	0.0657	0.0639	0.0443	0.674	-4.240***	-0.619***		1.971***	-0.470	1.763				0.0618	
	(0.152)	(0.165)	(0.0767)	(0.431)	(1.257)	(0.154)		(0.736)	(0.732)	(1.115)				(0.167)	
o._Iregion_7	-	-	-	-	-	-		-	-	-				-	
															
o._Iyear_2010	-	-	-		-	-			-		-			-	-
															
_Iyear_2011	0.268***	0.234***	0.145***	0.446**	0.259	0.0430	-2.285***	-2.122**	0.496	-0.306	-3.059***		1.057	0.235***	-3.036***
	(0.0409)	(0.0390)	(0.0171)	(0.211)	(0.628)	(0.0885)	(0.885)	(0.893)	(0.727)	(0.592)	(1.033)		(1.422)	(0.0392)	(1.069)
_Iyear_2012	0.237***	0.206***	0.130***	-0.141	1.538**	0.299***	-0.933	-0.779	1.820***	0.661	-2.159**		-1.262	0.209***	-2.070**
	(0.0433)	(0.0427)	(0.0189)	(0.200)	(0.607)	(0.0867)	(0.881)	(0.890)	(0.704)	(0.626)	(0.927)		(1.227)	(0.0426)	(0.917)
_Iyear_2013	0.316***	0.280***	0.153***	-0.103	-0.0341	-0.0238	-2.719**	-2.546**			-1.633		1.271	0.280***	-1.561
	(0.0493)	(0.0433)	(0.0176)	(0.194)	(0.582)	(0.0858)	(1.110)	(1.111)			(1.527)		(1.246)	(0.0433)	(1.459)
_Iyear_2014	0.201***	0.165**	0.123***		0.102	0.0251								0.160**	
	(0.0720)	(0.0728)	(0.0332)		(0.629)	(0.0992)								(0.0740)	
Jan	-0.191	-0.177													
	(0.212)	(0.259)													
spring	0.280***	0.288***	0.149***	0.581***	-2.174***	-0.361***	-1.857***	-1.744***	-0.435	0.873*		-1.464**	-1.448*	0.310***	-1.239
	(0.0917)	(0.0924)	(0.0378)	(0.199)	(0.365)	(0.0658)	(0.648)	(0.658)	(0.380)	(0.454)		(0.676)	(0.857)	(0.0949)	(0.931)
fall	-0.131***	-0.130***	-0.0542**	-0.188	1.913***	0.286***	1.162***	1.130***	-0.338	0.111		-0.541	1.643*	-0.119**	-0.531
	(0.0502)	(0.0496)	(0.0239)	(0.177)	(0.464)	(0.0649)	(0.366)	(0.366)	(0.268)	(0.306)		(0.552)	(0.942)	(0.0483)	(0.785)
pollination		0.102**	0.0481**	0.143	-0.0395	-0.0576	0.298	0.372*	-0.297	-0.561**	0.640	0.245	0.133	0.0996**	0.692*
